,Total Value
2021-01-01,1000000
2021-01-04 00:00:00,1000000
2021-01-05 00:00:00,1000000.0
2021-01-06 00:00:00,1000598.2082366943
2021-01-07 00:00:00,1007287.8891944885
2021-01-08 00:00:00,1008311.4501953125
2021-01-11 00:00:00,1006468.5267448425
2021-01-12 00:00:00,1010666.3794517517
2021-01-13 00:00:00,1017717.8053855896
2021-01-14 00:00:00,1027938.0124092102
2021-01-15 00:00:00,1013013.6608123779
2021-01-19 00:00:00,1029098.8386154175
2021-01-20 00:00:00,1029396.3857650757
2021-01-21 00:00:00,1037718.0456161499
2021-01-22 00:00:00,1033726.2047767639
2021-01-25 00:00:00,1027670.6457138062
2021-01-26 00:00:00,1037497.2388267517
2021-01-27 00:00:00,1018412.6992225647
2021-01-28 00:00:00,1018602.7764320372
2021-01-29 00:00:00,1002011.9374275208
2021-02-01 00:00:00,1003268.9160346985
2021-02-02 00:00:00,1001553.226184845
2021-02-03 00:00:00,999427.6469230651
2021-02-04 00:00:00,1003886.7020606995
2021-02-05 00:00:00,1011381.3771247864
2021-02-08 00:00:00,1025131.9760322571
2021-02-09 00:00:00,1025021.839237213
2021-02-10 00:00:00,1020995.606803894
2021-02-11 00:00:00,1019056.7711830138
2021-02-12 00:00:00,1022362.4191284179
2021-02-16 00:00:00,1013465.2894020079
2021-02-17 00:00:00,1011063.104534149
2021-02-18 00:00:00,1008497.0376968384
2021-02-19 00:00:00,1004594.5156097412
2021-02-22 00:00:00,1011559.0861320496
2021-02-23 00:00:00,1015880.644607544
2021-02-24 00:00:00,1038531.0248374939
2021-02-25 00:00:00,1023533.2806587219
2021-02-26 00:00:00,1018794.8901176453
2021-03-01 00:00:00,1034299.1339683533
2021-03-02 00:00:00,1032441.020965576
2021-03-03 00:00:00,1030844.4823265075
2021-03-04 00:00:00,1018585.4489326477
2021-03-05 00:00:00,1045751.4822006226
2021-03-08 00:00:00,1059841.5671348572
2021-03-09 00:00:00,1051938.8974189758
2021-03-10 00:00:00,1064477.5624275208
2021-03-11 00:00:00,1061251.492881775
2021-03-12 00:00:00,1075752.3315429688
2021-03-15 00:00:00,1092736.0381126404
2021-03-16 00:00:00,1077928.2897949219
2021-03-17 00:00:00,1081833.2690238953
2021-03-18 00:00:00,1064170.6184387207
2021-03-19 00:00:00,1069085.4164123535
2021-03-22 00:00:00,1075823.1512069702
2021-03-23 00:00:00,1063397.9999542236
2021-03-24 00:00:00,1059619.4984436035
2021-03-25 00:00:00,1062074.625968933
2021-03-26 00:00:00,1081233.9693069458
2021-03-29 00:00:00,1082881.5256118774
2021-03-30 00:00:00,1073909.3534469604
2021-03-31 00:00:00,1075586.3695144653
2021-04-01 00:00:00,1084461.2260818481
2021-04-05 00:00:00,1094301.5687942505
2021-04-06 00:00:00,1091639.5177841187
2021-04-07 00:00:00,1085321.4818954468
2021-04-08 00:00:00,1094073.7789154053
2021-04-09 00:00:00,1104377.1142959595
2021-04-12 00:00:00,1102941.6959762573
2021-04-13 00:00:00,1109467.7334785461
2021-04-14 00:00:00,1105892.5731658936
2021-04-15 00:00:00,1124890.2528762817
2021-04-16 00:00:00,1128756.2678337097
2021-04-19 00:00:00,1121154.1481018066
2021-04-20 00:00:00,1111319.5875167847
2021-04-21 00:00:00,1118827.1932601929
2021-04-22 00:00:00,1113404.3626785278
2021-04-23 00:00:00,1127748.2021331787
2021-04-26 00:00:00,1132176.9626617432
2021-04-27 00:00:00,1134602.7841567993
2021-04-28 00:00:00,1138095.3035354614
2021-04-29 00:00:00,1140661.8083953855
2021-04-30 00:00:00,1124278.911781311
2021-05-03 00:00:00,1126615.5652999878
2021-05-04 00:00:00,1132338.9316558838
2021-05-05 00:00:00,1133340.2005195615
2021-05-06 00:00:00,1145854.7367095945
2021-05-07 00:00:00,1154994.0067291257
2021-05-10 00:00:00,1162178.6738395689
2021-05-11 00:00:00,1141909.1599464414
2021-05-12 00:00:00,1127045.7589149475
2021-05-13 00:00:00,1135724.990081787
2021-05-14 00:00:00,1152750.3364562986
2021-05-17 00:00:00,1156988.9122009275
2021-05-18 00:00:00,1153073.5615730286
2021-05-19 00:00:00,1139165.3503417969
2021-05-20 00:00:00,1154429.017162323
2021-05-21 00:00:00,1158849.0354537964
2021-05-24 00:00:00,1174010.808467865
2021-05-25 00:00:00,1170227.0997047424
2021-05-26 00:00:00,1174461.9730949402
2021-05-27 00:00:00,1176054.4972419739
2021-05-28 00:00:00,1178783.1351280212
2021-06-01 00:00:00,1180379.3196678162
2021-06-02 00:00:00,1181992.8595542908
2021-06-03 00:00:00,1170248.6941337585
2021-06-04 00:00:00,1178017.415523529
2021-06-07 00:00:00,1181028.6915779114
2021-06-08 00:00:00,1180397.490787506
2021-06-09 00:00:00,1179201.019191742
2021-06-10 00:00:00,1198276.5252113342
2021-06-11 00:00:00,1197844.286251068
2021-06-14 00:00:00,1201324.3153572083
2021-06-15 00:00:00,1192377.2978782651
2021-06-16 00:00:00,1192310.702419281
2021-06-17 00:00:00,1202978.2042503357
2021-06-18 00:00:00,1196639.1335487366
2021-06-21 00:00:00,1206079.6151161194
2021-06-22 00:00:00,1213260.1618766785
2021-06-23 00:00:00,1211741.2388801575
2021-06-24 00:00:00,1217341.5091514587
2021-06-25 00:00:00,1226137.1991157532
2021-06-28 00:00:00,1242192.1521186829
2021-06-29 00:00:00,1247469.9572563171
2021-06-30 00:00:00,1236623.2369422913
2021-07-01 00:00:00,1247545.5855369568
2021-07-02 00:00:00,1257554.9803733826
2021-07-06 00:00:00,1258770.6490516663
2021-07-07 00:00:00,1262145.6934928894
2021-07-08 00:00:00,1247545.4293251038
2021-07-09 00:00:00,1259565.624332428
2021-07-12 00:00:00,1255129.5665740967
2021-07-13 00:00:00,1245530.5072784424
2021-07-14 00:00:00,1244504.8343658447
2021-07-15 00:00:00,1243507.6026916504
2021-07-16 00:00:00,1241388.4525299072
2021-07-19 00:00:00,1221413.7090682983
2021-07-20 00:00:00,1229119.4917678833
2021-07-21 00:00:00,1238140.9425735474
2021-07-22 00:00:00,1235166.1301612854
2021-07-23 00:00:00,1246482.9354286194
2021-07-26 00:00:00,1251395.0966835022
2021-07-27 00:00:00,1250419.6761131287
2021-07-28 00:00:00,1250775.7859230042
2021-07-29 00:00:00,1264750.5226135254
2021-07-30 00:00:00,1261414.3187522888
2021-08-02 00:00:00,1258877.6305198667
2021-08-03 00:00:00,1268245.4936981201
2021-08-04 00:00:00,1267923.6025810242
2021-08-05 00:00:00,1259748.0818748474
2021-08-06 00:00:00,1269485.4471206665
2021-08-09 00:00:00,1269860.3095054626
2021-08-10 00:00:00,1272980.5715560913
2021-08-11 00:00:00,1284703.8249015808
2021-08-12 00:00:00,1283062.2069358826
2021-08-13 00:00:00,1279611.136341095
2021-08-16 00:00:00,1284620.9367752075
2021-08-17 00:00:00,1279524.0169525146
2021-08-18 00:00:00,1267458.9214324951
2021-08-19 00:00:00,1274668.7627792358
2021-08-20 00:00:00,1282340.2773857117
2021-08-23 00:00:00,1280844.931602478
2021-08-24 00:00:00,1280839.7283554077
2021-08-25 00:00:00,1280430.3889274597
2021-08-26 00:00:00,1263820.0751304626
2021-08-27 00:00:00,1281407.2335243225
2021-08-30 00:00:00,1274987.7466201782
2021-08-31 00:00:00,1282504.7976493835
2021-09-01 00:00:00,1280778.1833648682
2021-09-02 00:00:00,1296342.5687789917
2021-09-03 00:00:00,1301432.2002410889
2021-09-07 00:00:00,1294979.9314498901
2021-09-08 00:00:00,1294442.0513153076
2021-09-09 00:00:00,1293785.6367111206
2021-09-10 00:00:00,1279627.9343605042
2021-09-13 00:00:00,1290056.8286895752
2021-09-14 00:00:00,1279362.6546859741
2021-09-15 00:00:00,1303562.6278877258
2021-09-16 00:00:00,1296202.638244629
2021-09-17 00:00:00,1290345.8743095398
2021-09-20 00:00:00,1251576.5345573425
2021-09-21 00:00:00,1249046.291255951
2021-09-22 00:00:00,1254804.7320365906
2021-09-23 00:00:00,1293458.762550354
2021-09-24 00:00:00,1307199.3644714355
2021-09-27 00:00:00,1331715.179347992
2021-09-28 00:00:00,1311701.432609558
2021-09-29 00:00:00,1304748.5980033875
2021-09-30 00:00:00,1283048.567390442
2021-10-01 00:00:00,1321231.7087173462
2021-10-04 00:00:00,1319962.8662109373
2021-10-05 00:00:00,1327594.6590423582
2021-10-06 00:00:00,1305703.7639617918
2021-10-07 00:00:00,1314071.0129737854
2021-10-08 00:00:00,1329971.6695785522
2021-10-11 00:00:00,1325046.4618682861
2021-10-12 00:00:00,1325189.7106170654
2021-10-13 00:00:00,1323567.1010017395
2021-10-14 00:00:00,1345825.8828163147
2021-10-15 00:00:00,1348761.604309082
2021-10-18 00:00:00,1351862.2953414917
2021-10-19 00:00:00,1363664.8589134216
2021-10-20 00:00:00,1380420.43094635
2021-10-21 00:00:00,1378123.1791496277
2021-10-22 00:00:00,1393076.5295028687
2021-10-25 00:00:00,1401765.2012825012
2021-10-26 00:00:00,1401241.7232513428
2021-10-27 00:00:00,1382043.1234359741
2021-10-28 00:00:00,1395060.0791931152
2021-10-29 00:00:00,1393119.6345329285
2021-11-01 00:00:00,1389249.2049217224
2021-11-02 00:00:00,1392784.6652030945
2021-11-03 00:00:00,1405683.4512710571
2021-11-04 00:00:00,1415514.3342971802
2021-11-05 00:00:00,1424240.7280921936
2021-11-08 00:00:00,1420522.132396698
2021-11-09 00:00:00,1427821.3206291199
2021-11-10 00:00:00,1416183.3179473877
2021-11-11 00:00:00,1413391.7574882507
2021-11-12 00:00:00,1416780.1781654358
2021-11-15 00:00:00,1419237.0515823364
2021-11-16 00:00:00,1416496.2827682495
2021-11-17 00:00:00,1412793.528175354
2021-11-18 00:00:00,1414674.8627662659
2021-11-19 00:00:00,1405007.7813148499
2021-11-22 00:00:00,1404963.9122962952
2021-11-23 00:00:00,1390156.4175605774
2021-11-24 00:00:00,1389523.5239982605
2021-11-26 00:00:00,1376283.657836914
2021-11-29 00:00:00,1383917.0372009277
2021-11-30 00:00:00,1348140.9065246582
2021-12-01 00:00:00,1332094.511604309
2021-12-02 00:00:00,1333125.1794815063
2021-12-03 00:00:00,1326378.822517395
2021-12-06 00:00:00,1345901.4485359192
2021-12-07 00:00:00,1368171.3539123535
2021-12-08 00:00:00,1366661.9769096375
2021-12-09 00:00:00,1351079.9920082092
2021-12-10 00:00:00,1354758.8438987732
2021-12-13 00:00:00,1355089.7797584534
2021-12-14 00:00:00,1346719.4757461548
2021-12-15 00:00:00,1365133.8253974915
2021-12-16 00:00:00,1367571.052646637
2021-12-17 00:00:00,1364138.8144493103
2021-12-20 00:00:00,1354182.0509910583
2021-12-21 00:00:00,1374371.614933014
2021-12-22 00:00:00,1390647.6920127869
2021-12-23 00:00:00,1394692.0065879822
2021-12-27 00:00:00,1402341.164302826
2021-12-28 00:00:00,1405478.1044960022
2021-12-29 00:00:00,1408144.1010475159
2021-12-30 00:00:00,1409403.6133766174
2021-12-31 00:00:00,1402934.2244148254
2022-01-03 00:00:00,1417480.488872528
2022-01-04 00:00:00,1409392.948627472
2022-01-05 00:00:00,1385874.3294715881
2022-01-06 00:00:00,1393884.5210075378
2022-01-07 00:00:00,1396678.351688385
2022-01-10 00:00:00,1391208.417415619
2022-01-11 00:00:00,1404131.6132545471
2022-01-12 00:00:00,1411988.767528534
2022-01-13 00:00:00,1397117.4521446228
2022-01-14 00:00:00,1403905.5220603943
2022-01-18 00:00:00,1369450.5846977234
2022-01-19 00:00:00,1347372.1190452576
2022-01-20 00:00:00,1330173.3054161072
2022-01-21 00:00:00,1321084.3665122986
2022-01-24 00:00:00,1313658.4864616394
2022-01-25 00:00:00,1297500.0247001648
2022-01-26 00:00:00,1297302.7110099792
2022-01-27 00:00:00,1301289.737033844
2022-01-28 00:00:00,1321544.8126792908
2022-01-31 00:00:00,1337618.1210517883
2022-02-01 00:00:00,1364061.912059784
2022-02-02 00:00:00,1380266.1005973816
2022-02-03 00:00:00,1367884.1212272644
2022-02-04 00:00:00,1373324.6251106262
2022-02-07 00:00:00,1363407.5022697449
2022-02-08 00:00:00,1353139.2149925232
2022-02-09 00:00:00,1372327.052783966
2022-02-10 00:00:00,1355708.7140083313
2022-02-11 00:00:00,1338892.7947044373
2022-02-14 00:00:00,1322532.9607963562
2022-02-15 00:00:00,1331105.565547943
2022-02-16 00:00:00,1339364.4194602966
2022-02-17 00:00:00,1320917.6215171814
2022-02-18 00:00:00,1318708.568096161
2022-02-22 00:00:00,1308949.5833396912
2022-02-23 00:00:00,1292191.479587555
2022-02-24 00:00:00,1304237.4676704407
2022-02-25 00:00:00,1332791.4792060852
2022-02-28 00:00:00,1324871.2147712708
2022-03-01 00:00:00,1309272.239971161
2022-03-02 00:00:00,1332798.7444877625
2022-03-03 00:00:00,1333379.2443275452
2022-03-04 00:00:00,1341569.4895744324
2022-03-07 00:00:00,1326440.23771286
2022-03-08 00:00:00,1296397.232723236
2022-03-09 00:00:00,1305253.231716156
2022-03-10 00:00:00,1305801.2328147888
2022-03-11 00:00:00,1292802.2345542908
2022-03-14 00:00:00,1275718.2227134705
